SMILES,TC_pred,PID
*CC(*)C,0.384,P010002
*CC(*)CC,0.283,P010003
*CC(*)C(C)C,0.26,P010006
*CC(*)CC1CCCCC1,0.26,P010026
*CC(*)CCCCCCCCCC,0.401,P010042
*CC(*)c1ccccc1CC,0.267,P020003
*CC(*)c1ccccc1C(=O)N(C)C,0.175,P020015
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,0.651,P020056
*CC(*)c1ccc(C(C)=O)cc1,0.231,P020157
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.474,P030004
*CC(*)(C)C#N,0.238,P030011
*CC(*)OCC,0.361,P030019
*CC(*)(C)C(=O)OC(C)(C)C,0.148,P040055
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.465,P040063
*CC(*)(C)C(=O)OCCN(CC)CC,0.304,P040114
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCC,0.673,P040134
*CC(*)(C#N)C(=O)OC,0.221,P040159
*CC(*)C(=O)OCCSC,0.248,P040177
*CC(*)C(=O)OCCSCC,0.261,P040179
*CC(*)C(=O)N(C)c1ccccc1,0.222,P040209
*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,0.157,P040213
*CC(*)C(=O)NCCCC,0.314,P040218
*CC(*)C(=O)NC(C)CC,0.233,P040219
*CC(*)(C)C(=O)OCC1(C)COCOC1,0.148,P040250
*CC(*)C(=O)OCCC(C)C,0.301,P040280
*CCCCCCCCCCOCCCCCCOCCCCCCO*,0.65,P070099
*CCCCCCC(=O)NCCCCCCNC(=O)CCCCCCO*,0.597,P070174
*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO*,0.559,P070189
*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,0.668,P070194
*CCOCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,0.66,P070335
*OC1CCCCC1*,0.221,P070428
*c1ccc2c(c1)C(=O)N(c1cccc(Oc3ccc(N4C(=O)c5ccc(-c6c(-c7ccccc7)c(-c7ccccc7)c(-c7ccc(Oc8ccc(-c9c(-c%10ccccc%10)c(-c%10ccccc%10)c(*)c(-c%10ccccc%10)c9-c9ccccc9)cc8)cc7)c(-c7ccccc7)c6-c6ccccc6)cc5C4=O)cc3)c1)C2=O,0.282,P074477
*c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc(-c5c(-c6ccccc6)c(-c6ccccc6)c(-c6ccc(Sc7ccc(-c8c(-c9ccccc9)c(-c9ccccc9)c(*)c(-c9ccccc9)c8-c8ccccc8)cc7)cc6)c(-c6ccccc6)c5-c5ccccc5)cc4C3=O)cc1)C2=O,0.271,P084478
*c1ccc(Oc2ccc(-c3nc4cc(Oc5ccc(NC(=O)c6ccc7c(c6)C(=O)N(c6ccc(C(c8ccc(N9C(=O)c%10ccc(C(=O)Nc%11ccc(Oc%12ccc%13nc(-c%14ccccc%14)c(*)nc%13c%12)cc%11)cc%10C9=O)cc8)(C(F)(F)F)C(F)(F)F)cc6)C7=O)cc5)ccc4nc3-c3ccccc3)cc2)cc1,0.412,P430090
*c1ccc(-c2nc3cc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(C(c7ccc(N8C(=O)c9ccc(C(=O)Nc%10ccc(Oc%11ccc%12nc(-c%13ccccc%13)c(-c%13ccc(-n%14c(=O)c%15ccc%16c(=O)n(*)c(=O)c%17ccc(c%14=O)c%15c%16%17)cc%13)nc%12c%11)cc%10)cc9C8=O)cc7)(C(F)(F)F)C(F)(F)F)cc5)C6=O)cc4)ccc3nc2-c2ccccc2)cc1,0.406,P430093
*c1ccc(-c2nc3cc(Oc4ccc(NC(=O)c5cc(C(=O)Nc6ccc(Oc7ccc8nc(-c9ccccc9)c(-c9ccc(-n%10c(=O)c%11ccc%12c(=O)n(*)c(=O)c%13ccc(c%10=O)c%11c%12%13)cc9)nc8c7)cc6)cc(N6C(=O)c7c(Cl)c(Cl)c(Cl)c(Cl)c7C6=O)c5)cc4)ccc3nc2-c2ccccc2)cc1,0.394,P432267